UID,NAME_0,NAME_1,NAME_2,lon,lat
8477,United States,Wisconsin,Walworth,-88.5391388864945,42.67104985359476
8478,United States,Wisconsin,Racine,-88.05949441010678,42.749419109782266
8479,United States,New York,Schoharie,-74.44253277645862,42.5871413406851
8480,United States,New York,Albany,-73.97314714402886,42.60006796826151
8482,United States,Wisconsin,Lafayette,-90.13258559770203,42.661082727228056
8486,United States,New York,Cortland,-76.07093473277124,42.59482552440574
8488,United States,Michigan,Livingston,-83.91308913282823,42.60314357297657
8489,United States,Michigan,Ingham,-84.37517681761523,42.596672984887164
8490,United States,Michigan,Eaton,-84.83914092653905,42.59559526657603
8491,United States,Michigan,Barry,-85.30909498226274,42.594641606041314
8492,United States,Michigan,Allegan,-85.88903267648593,42.59024566493741
8493,United States,New York,Yates,-77.10425039986663,42.633394826280465
8494,United States,Nebraska,Dixon,-96.8676406951063,42.494663695957435
8497,United States,Massachusetts,Berkshire,-73.207788301365,42.37015295967207
8498,United States,New York,Chenango,-75.6105256574082,42.49218172542112
8499,United States,Massachusetts,Franklin,-72.59079807164632,42.5826942333989
8500,United States,Massachusetts,Worcester,-71.9078512586175,42.35141174668741
8503,United States,Iowa,Dubuque,-90.88166290239236,42.46840387816003
8504,United States,Wisconsin,Kenosha,-88.04073077506744,42.57940443767856
8506,United States,Iowa,Delaware,-91.36685531903179,42.47033263511634
8507,United States,Iowa,Webster,-94.18236535002896,42.42678980552868
8508,United States,Iowa,Buchanan,-91.83787881247069,42.47049803133961
8509,United States,Iowa,Black Hawk,-92.3096369228862,42.46932323976738
8511,United States,New York,Tompkins,-76.47402683902692,42.45141639009657
8514,United States,New York,Steuben,-77.38400320524919,42.267465632485084
8515,United States,New York,Chautauqua,-79.36789311705641,42.22756192242968
8516,United States,Iowa,Woodbury,-96.04389801000396,42.389359377906324
8517,United States,Iowa,Sac,-95.10566449801185,42.385745476821256
8518,United States,Iowa,Ida,-95.51282086116467,42.385463041864895
8519,United States,Iowa,Calhoun,-94.64124417341536,42.38412211089814
8520,United States,Iowa,Hamilton,-93.7075426534286,42.38252484843257
8521,United States,Iowa,Hardin,-93.24127187841538,42.3831677166969
8522,United States,Iowa,Grundy,-92.79234418868835,42.401642402329216
8523,United States,Massachusetts,Hampshire,-72.66371479383736,42.33991102421065
8524,United States,New York,Schuyler,-76.87508819689022,42.394385882599806
8525,United States,Michigan,Saint Clair,-82.68293444069961,42.94352209925012
8526,United States,New York,Cattaraugus,-78.67958065517487,42.24796196726672
8527,United States,Nebraska,Dakota,-96.56480210770216,42.392858100473454
8528,United States,New York,Allegany,-78.02754529554848,42.256871567642044
8529,United States,New York,Delaware,-74.96595259030137,42.19772010132538
8530,United States,Illinois,Jo Daviess,-90.21188407925703,42.36695904903636
8531,United States,New York,Columbia,-73.63315242500701,42.24923248469196
8532,United States,Illinois,Stephenson,-89.66282381452396,42.35395779584553
8533,United States,Illinois,Winnebago,-89.16154469193405,42.339207193985565
8534,United States,Illinois,McHenry,-88.45143757337893,42.3265552221211
8535,United States,Illinois,Boone,-88.82275751542026,42.32594752153135
8536,United States,Illinois,Lake,-88.00278863350404,42.32550125780368
8537,United States,Illinois,Lake Michigan,-87.42368242697225,42.17593818967022
8538,United States,New York,Greene,-74.1219555692318,42.2772421635145
8539,United States,Nebraska,Pierce,-97.60123485733487,42.26552278544092
8540,United States,Nebraska,Antelope,-98.06603283107363,42.17777207224188
8541,United States,Michigan,Washtenaw,-83.83948972190804,42.252809263823316
8542,United States,Michigan,Jackson,-84.42532642118249,42.247924556290414
8543,United States,Michigan,Calhoun,-85.00628352384221,42.24634993752776
8544,United States,Michigan,Van Buren,-86.01994464968438,42.25072466141467
8545,United States,Michigan,Kalamazoo,-85.53101105166701,42.24488425176716
8546,United States,New York,Broome,-75.81879536617242,42.15966095225243
8547,United States,New York,Tioga,-76.30716465972623,42.17005398522142
8549,United States,Massachusetts,Suffolk,-71.07352464659661,42.33159719007253
8550,United States,Iowa,Jackson,-90.57391934210135,42.17179604206339
8551,United States,Massachusetts,Middlesex,-71.39227334898244,42.485245282200694
8553,United States,Michigan,Wayne,-83.28804857135057,42.28394451401174
8554,United States,Nebraska,Wayne,-97.12031480451321,42.21061660028799
8556,United States,Massachusetts,Hampden,-72.63140110861008,42.135106581493886
8557,United States,Iowa,Benton,-92.06589572274636,42.07969496362156
